Total,0.0,0.0

Launch Microsoft Excel 2010, 2.03845658996747, 93.6983406661843
Close Empty Worksheet, 1.00345331185336, 50.8244871959254
Open Worksheet, 5.37102674092496, 93.8368070595762
Time to iterate sheet 25 times, 47.7403504365572, 42.9406148311432
Save and Close Worksheet, 1.84878586592171, 103.851940637959
Close Microsoft Excel 2010, 0.864713804898146, 55.5096954947468
Total,58.86678675012285,69.2848542699919

Launch Microsoft Excel 2010, 1.37265963868202, 139.145928544524
Close Empty Worksheet, 0.630790251340331, 80.8509641543016
Open Worksheet, 5.24100845466006, 96.16469890482
Time to iterate sheet 25 times, 43.1319215086716, 47.5286036025047
Save and Close Worksheet, 1.99224989494979, 96.3734521892592
Close Microsoft Excel 2010, 0.680673019409994, 70.5184407655915
Total,53.0493027677138,83.92623854985882

Total,0.0,0.0

