Launch Opera 11.50, 0.217888182435043, 555.330714349654
Type SunSpider URL, 1.97353324521005, 122.116007209369
Run SunSpider, 6.50139627384282, 223.182827024071
Close Opera, 0.600904181841015, 148.11013584117
Total,9.293721883328928,217.59176810598302

Launch Opera 11.50, 0.609233235047243, 198.610307250584
Type SunSpider URL, 2.01917451318616, 119.355706218634
Run SunSpider, 27.007606364723, 53.725605313001
Close Opera, 0.85200592248687, 104.459367770852
Total,30.488020035443274,107.39731406511446

Launch Opera 11.50, 0.649927234987704, 186.174687697599
Type SunSpider URL, 1.9950188559417, 120.80086325111
Run SunSpider, 7.50687529277951, 193.289477100498
Close Opera, 0.104039082664681, 855.447757905054
Total,10.255860466373594,246.94378123800828

Launch Opera 11.50, 1.62003988486223, 74.689519147419
Type SunSpider URL, 2.28625361516446, 105.412627191259
Run SunSpider, 32.5071156975813, 44.6363809542156
Close Opera, 0.901538523657855, 98.7201297165828
Total,37.314947721265845,76.74706013066253

Launch Opera 11.50, 0.736750670336695, 164.234665636209
Type SunSpider URL, 1.97719657597902, 121.889751847596
Run SunSpider, 5.50371337100997, 263.640182943199
Close Opera, 0.700275662706011, 127.092807503956
Total,8.917936280031695,160.9315337506801

Launch Opera 11.50, 1.71291453771747, 70.6398348169998
Type SunSpider URL, 2.31379387984993, 104.157938223793
Run SunSpider, 25.0155799387629, 58.0038521414249
Close Opera, 1.2519463374774, 71.0893089709659
Total,30.2942346938077,74.21655559126263

Launch Opera 11.50, 1.51296463332343, 79.9754319003525
Type SunSpider URL, 2.0173531315913, 119.463467365229
Run SunSpider, 24.5155977322842, 59.1868089795422
Close Opera, 0.849968108535005, 104.709810999144
Total,28.895883605733935,87.7204806925724

Launch Opera 11.50, 1.61392165101977, 74.972660490393
Type SunSpider URL, 1.99333222009765, 120.903077555328
Run SunSpider, 24.5066130306062, 59.208508258071
Close Opera, 1.25000958112682, 71.1994542631992
Total,29.363876482850436,78.62311849802501

Launch Opera 11.50, 1.50659607222916, 80.3134975793271
Type SunSpider URL, 1.99006440208307, 121.101608444298
Run SunSpider, 27.5130540740023, 52.7386016869381
Close Opera, 1.2499875959008, 71.2007065445019
Total,32.25970214421533,77.73880156840357

Launch Opera 11.50, 0.515888587919842, 234.546766168824
Type SunSpider URL, 2.10829924049039, 114.310148849621
Run SunSpider, 26.0096348495695, 55.7870192485235
Close Opera, 1.25295201361068, 71.0322494662231
Total,29.886774691590414,101.52564126740002

